drug	drug_name	indication	indication_name
DB00020	sargramostim	C1458155	Mammary Neoplasms
DB00020	sargramostim	C0019829	Hodgkin's lymphoma
DB00020	sargramostim	C0023449	Acute Lymphocytic Leukemia
DB00022	Peginterferon alfa-2b	C0524910	Hepatitis C, Chronic
DB00022	Peginterferon alfa-2b	C0006118	Brain Neoplasms
DB00022	Peginterferon alfa-2b	C2239176	hepatocellular carcinoma (HCC)
DB00022	Peginterferon alfa-2b	C0007134	renal cell carcinoma (RCC)
DB00022	Peginterferon alfa-2b	C0009404	Colorectal Neoplasms
DB00022	Peginterferon alfa-2b	C0018916	Hemangioma
DB00022	Peginterferon alfa-2b	C1540912	hypereosinophilic syndrome (HES)
DB00022	Peginterferon alfa-2b	C0023443	hairy cell leukemia
DB00022	Peginterferon alfa-2b	C0024437	macular degeneration
DB00022	Peginterferon alfa-2b	C0025202	melanoma
DB00022	Peginterferon alfa-2b	C0026764	multiple myeloma
DB00022	Peginterferon alfa-2b	C0026948	Mycosis Fungoides
DB00022	Peginterferon alfa-2b	C0036220	Kaposi sarcoma
DB00022	Peginterferon alfa-2b	C0036920	Sezary Syndrome
DB00022	Peginterferon alfa-2b	C0037286	Skin Neoplasms
DB00022	Peginterferon alfa-2b	C0037299	skin ulcer
DB00022	Peginterferon alfa-2b	C0040028	Thrombocythemia, Essential
DB00026	Anakinra	C0003873	rheumatoid arthritis
DB00026	Anakinra	C2316212	Cryopyrin-Associated Periodic Syndromes
DB00026	Anakinra	C0409818	Chronic Infantile Neurological, Cutaneous, and Articular Syndrome
DB00030	insulin human	C0011854	Diabetes Mellitus, Insulin-Dependent
DB00030	insulin human	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00030	insulin human	C0011849	diabetes mellitus
DB00030	insulin human	C2748055	Hypoinsulinaemia
DB00030	insulin human	C0021655	Insulin Resistance
DB00031	Tenecteplase	C0027051	Myocardial Infarction
DB00031	Tenecteplase	C0010072	Coronary Thrombosis
DB00031	Tenecteplase	C0040053	thrombosis
DB00035	Desmopressin	C0019069	Hemophilia A
DB00035	Desmopressin	C0011848	Diabetes Insipidus
DB00035	Desmopressin	C0018924	Hemarthrosis
DB00035	Desmopressin	C0019080	hemorrhage
DB00035	Desmopressin	C0041948	Uremia
DB00036	Coagulation factor VIIa Recombinant Human	C0019069	Hemophilia A
DB00036	Coagulation factor VIIa Recombinant Human	C0008533	Hemophilia B
DB00036	Coagulation factor VIIa Recombinant Human	C0040015	Thrombasthenia
DB00036	Coagulation factor VIIa Recombinant Human	C0015503	Factor Vii Deficiency
DB00036	Coagulation factor VIIa Recombinant Human	C0019080	hemorrhage
DB00038	Oprelvekin	C0040034	thrombocytopenia
DB00039	palifermin	C0376545	Hematologic Neoplasms
DB00040	Glucagon recombinant	C0020615	hypoglycemia
DB00040	Glucagon recombinant	C0002792	Anaphylaxis
DB00040	Glucagon recombinant	C0428977	bradycardia
DB00040	Glucagon recombinant	C0036980	Shock, Cardiogenic
DB00040	Glucagon recombinant	C0011849	diabetes mellitus
DB00041	aldesleukin	C0023467	Leukemia, Myelocytic, Acute
DB00041	aldesleukin	C0007134	renal cell carcinoma (RCC)
DB00041	aldesleukin	C0009404	Colorectal Neoplasms
DB00041	aldesleukin	C0024305	non-Hodgkin lymphoma (NHL)
DB00041	aldesleukin	C0025202	melanoma
DB00041	aldesleukin	C0026764	multiple myeloma
DB00043	omalizumab	C0004096	asthma
DB00043	omalizumab	C0020517	Hypersensitivity
DB00046	Insulin Lispro	C0011854	Diabetes Mellitus, Insulin-Dependent
DB00046	Insulin Lispro	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00046	Insulin Lispro	C0011849	diabetes mellitus
DB00046	Insulin Lispro	C0020456	hyperglycemia
DB00046	Insulin Lispro	C2748055	Hypoinsulinaemia
DB00047	Insulin Glargine	C0011854	Diabetes Mellitus, Insulin-Dependent
DB00047	Insulin Glargine	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00047	Insulin Glargine	C0011849	diabetes mellitus
DB00047	Insulin Glargine	C0020456	hyperglycemia
DB00047	Insulin Glargine	C2748055	Hypoinsulinaemia
DB00048	Collagenase clostridium histolyticum	C0030848	Peyronie's disease
DB00048	Collagenase clostridium histolyticum	C0037299	skin ulcer
DB00051	Adalimumab	C0003873	rheumatoid arthritis
DB00051	Adalimumab	C3495559	Juvenile Arthritis
DB00051	Adalimumab	C0003872	psoriatic arthritis
DB00051	Adalimumab	C0038013	ankylosing spondylitis
DB00051	Adalimumab	C0010346	Crohn's disease
DB00051	Adalimumab	C0009324	ulcerative colitis
DB00051	Adalimumab	C0162836	Hidradenitis Suppurativa
DB00052	Somatropin recombinant	C0151686	Growth retardation
DB00052	Somatropin recombinant	C0032897	Prader-Willi Syndrome
DB00052	Somatropin recombinant	C0013338	Pituitary Dwarfism
DB00052	Somatropin recombinant	C0041408	Turner Syndrome
DB00052	Somatropin recombinant	C0878787	Growth Failure
DB00052	Somatropin recombinant	C0001206	acromegaly
DB00052	Somatropin recombinant	C0343755	Hiv Wasting Syndrome
DB00056	Gemtuzumab ozogamicin	C0023467	Leukemia, Myelocytic, Acute
DB00056	Gemtuzumab ozogamicin	C0023479	Acute Myelomonocytic Leukemia
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0751967	Multiple Sclerosis, Relapsing-Remitting
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0006118	Brain Neoplasms
DB00060	INTERFERON BETA-1A,RECOMBINANT	C2239176	hepatocellular carcinoma (HCC)
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0007134	renal cell carcinoma (RCC)
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0009404	Colorectal Neoplasms
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0018916	Hemangioma
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0524910	Hepatitis C, Chronic
DB00060	INTERFERON BETA-1A,RECOMBINANT	C1540912	hypereosinophilic syndrome (HES)
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0023443	hairy cell leukemia
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0024437	macular degeneration
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0025202	melanoma
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0026764	multiple myeloma
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0026948	Mycosis Fungoides
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0036220	Kaposi sarcoma
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0036920	Sezary Syndrome
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0037286	Skin Neoplasms
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0037299	skin ulcer
DB00060	INTERFERON BETA-1A,RECOMBINANT	C0040028	Thrombocythemia, Essential
DB00063	eptifibatide	C0948089	acute coronary syndrome (ACS)
DB00063	eptifibatide	C0027051	Myocardial Infarction
DB00063	eptifibatide	C0002965	Angina, Unstable
DB00063	eptifibatide	C0040053	thrombosis
DB00065	Infliximab	C0010346	Crohn's disease
DB00065	Infliximab	C0009324	ulcerative colitis
DB00065	Infliximab	C0003873	rheumatoid arthritis
DB00065	Infliximab	C0038013	ankylosing spondylitis
DB00065	Infliximab	C0003872	psoriatic arthritis
DB00065	Infliximab	C3495559	Juvenile Arthritis
DB00067	vasopressin	C0019069	Hemophilia A
DB00067	vasopressin	C0019080	hemorrhage
DB00067	vasopressin	C0011848	Diabetes Insipidus
DB00067	vasopressin	C0017181	Gastrointestinal Hemorrhage
DB00067	vasopressin	C0042514	ventricular tachycardia (VT)
DB00067	vasopressin	C0042510	ventricular fibrillation (VF)
DB00068	Interferon beta-1b	C0751967	Multiple Sclerosis, Relapsing-Remitting
DB00068	Interferon beta-1b	C0026769	multiple sclerosis
DB00068	Interferon beta-1b	C0006118	Brain Neoplasms
DB00068	Interferon beta-1b	C2239176	hepatocellular carcinoma (HCC)
DB00068	Interferon beta-1b	C0007134	renal cell carcinoma (RCC)
DB00068	Interferon beta-1b	C0009404	Colorectal Neoplasms
DB00068	Interferon beta-1b	C0018916	Hemangioma
DB00068	Interferon beta-1b	C0524910	Hepatitis C, Chronic
DB00068	Interferon beta-1b	C1540912	hypereosinophilic syndrome (HES)
DB00068	Interferon beta-1b	C0023443	hairy cell leukemia
DB00068	Interferon beta-1b	C0024437	macular degeneration
DB00068	Interferon beta-1b	C0025202	melanoma
DB00068	Interferon beta-1b	C0026764	multiple myeloma
DB00068	Interferon beta-1b	C0026948	Mycosis Fungoides
DB00068	Interferon beta-1b	C0036220	Kaposi sarcoma
DB00068	Interferon beta-1b	C0036920	Sezary Syndrome
DB00068	Interferon beta-1b	C0037286	Skin Neoplasms
DB00068	Interferon beta-1b	C0037299	skin ulcer
DB00068	Interferon beta-1b	C0040028	Thrombocythemia, Essential
DB00072	trastuzumab	C1458155	Mammary Neoplasms
DB00073	Rituximab	C0024305	non-Hodgkin lymphoma (NHL)
DB00073	Rituximab	C0023434	chronic lymphocytic leukemia (CLL)
DB00073	Rituximab	C0003873	rheumatoid arthritis
DB00073	Rituximab	C0079731	B-Cell Lymphomas
DB00078	Ibritumomab tiuxetan	C0024301	follicular lymphoma
DB00078	Ibritumomab tiuxetan	C0079731	B-Cell Lymphomas
DB00078	Ibritumomab tiuxetan	C0024305	non-Hodgkin lymphoma (NHL)
DB00082	Pegvisomant	C0001206	acromegaly
DB00087	Alemtuzumab	C0751967	Multiple Sclerosis, Relapsing-Remitting
DB00087	Alemtuzumab	C0023434	chronic lymphocytic leukemia (CLL)
DB00091	cyclosporine	C0003873	rheumatoid arthritis
DB00091	cyclosporine	C0013238	dry eye syndrome
DB00091	cyclosporine	C0022575	Keratoconjunctivitis Sicca
DB00091	cyclosporine	C0033860	psoriasis
DB00091	cyclosporine	C0017668	Focal Glomerulosclerosis
DB00091	cyclosporine	C0024141	Lupus Erythematosus, Systemic
DB00091	cyclosporine	C0026896	myasthenia gravis
DB00091	cyclosporine	C0004096	asthma
DB00092	alefacept	C0033860	psoriasis
DB00095	efalizumab	C0033860	psoriasis
DB00099	Filgrastim	C0221023	Cyclic neutropenia
DB00100	Coagulation Factor IX	C0008533	Hemophilia B
DB00100	Coagulation Factor IX	C0015503	Factor Vii Deficiency
DB00100	Coagulation Factor IX	C0019069	Hemophilia A
DB00100	Coagulation Factor IX	C0020640	Inherited Factor Ii Deficiency
DB00100	Coagulation Factor IX	C0019080	hemorrhage
DB00102	Becaplermin	C0037299	skin ulcer
DB00104	octreotide	C0001206	acromegaly
DB00104	octreotide	C0024586	Malignant Carcinoid Syndrome
DB00104	octreotide	C0001430	Adenoma
DB00104	octreotide	C0030297	Pancreatic Neoplasm
DB00104	octreotide	C0032019	Pituitary Neoplasms
DB00104	octreotide	C0011991	diarrhea
DB00104	octreotide	C0007095	carcinoid tumors
DB00106	Abarelix	C0376358	Malignant Neoplasm Of Prostate
DB00107	oxytocin	C0032787	Postoperative Complications
DB00108	Natalizumab	C0026769	multiple sclerosis
DB00108	Natalizumab	C0010346	Crohn's disease
DB00110	palivizumab	C0006287	Bronchopulmonary Dysplasia
DB00110	palivizumab	C0151526	Premature Birth
DB00112	Bevacizumab	C1621958	Glioblastoma Multiforme
DB00115	cyanocobalamin	C0162316	Iron Deficiency Anemia
DB00115	cyanocobalamin	C0042847	Vitamin B 12 Deficiency
DB00115	cyanocobalamin	C0011882	Diabetic Neuropathies
DB00115	cyanocobalamin	C0026769	multiple sclerosis
DB00115	cyanocobalamin	C1394891	Intrinsic Factor Deficiency
DB00115	cyanocobalamin	C0002871	anemia
DB00115	cyanocobalamin	C0007570	celiac disease
DB00121	Biotin	C0162429	Malnutrition
DB00122	Choline	C0917801	Sleeplessness
DB00122	Choline	C0162429	Malnutrition
DB00122	Choline	C0020473	hyperlipidemia
DB00126	Vitamin C	C0025637	methemoglobinemia
DB00126	Vitamin C	C0268483	tyrosinemia
DB00128	L-Aspartic Acid	C0020621	hypokalemia
DB00130	glutamine-(l)	C0162429	Malnutrition
DB00130	glutamine-(l)	C0011991	diarrhea
DB00130	glutamine-(l)	C0231528	muscle pain
DB00130	glutamine-(l)	C0003862	joint pain
DB00130	glutamine-(l)	C0009324	ulcerative colitis
DB00130	glutamine-(l)	C0010346	Crohn's disease
DB00130	glutamine-(l)	C0003467	anxiety
DB00130	glutamine-(l)	C0917801	Sleeplessness
DB00131	Adenosine monophosphate	C0162429	Malnutrition
DB00133	L-Serine	C0017612	Glaucoma, Open-Angle
DB00136	calcitriol	C0020598	hypocalcemia
DB00136	calcitriol	C0085682	hypophosphatemia
DB00136	calcitriol	C0020626	hypoparathyroidism
DB00136	calcitriol	C0033860	psoriasis
DB00136	calcitriol	C0022661	chronic renal failure
DB00136	calcitriol	C0029456	osteoporosis
DB00136	calcitriol	C0035579	rickets
DB00136	calcitriol	C0042870	vitamin D deficiency
DB00136	calcitriol	C0020502	hyperparathyroidism
DB00136	calcitriol	C0042875	vitamin E deficiency
DB00136	calcitriol	C0042842	Vitamin A Deficiency
DB00139	Succinic acid	C0162316	Iron Deficiency Anemia
DB00139	Succinic acid	C0041582	Ulcer
DB00139	Succinic acid	C0162429	Malnutrition
DB00145	Glycine	C0010200	Coughing
DB00145	Glycine	C0027424	Nasal congestion (finding)
DB00145	Glycine	C2607914	Allergic Rhinitis (Disorder)
DB00145	Glycine	C0035455	Rhinitis
DB00145	Glycine	C0030920	Peptic Ulcer
DB00146	Calcidiol	C0020598	hypocalcemia
DB00146	Calcidiol	C0035579	rickets
DB00146	Calcidiol	C0085682	hypophosphatemia
DB00146	Calcidiol	C0020626	hypoparathyroidism
DB00146	Calcidiol	C0022661	chronic renal failure
DB00146	Calcidiol	C0029456	osteoporosis
DB00146	Calcidiol	C0042870	vitamin D deficiency
DB00151	L-Cysteine	C0002726	Amyloidosis
DB00151	L-Cysteine	C0006267	Bronchiectasis
DB00151	L-Cysteine	C1408258	Kidney; Damage
DB00152	thiamine	C0042847	Vitamin B 12 Deficiency
DB00152	thiamine	C0349464	Wernicke-Korsakoff Syndrome
DB00152	thiamine	C0039841	thiamine deficiency
DB00153	ergocalciferol	C0042870	vitamin D deficiency
DB00153	ergocalciferol	C0029442	osteomalacia
DB00153	ergocalciferol	C0035579	rickets
DB00153	ergocalciferol	C0029456	osteoporosis
DB00153	ergocalciferol	C0020598	hypocalcemia
DB00153	ergocalciferol	C0029458	Osteoporosis, Postmenopausal
DB00153	ergocalciferol	C0020626	hypoparathyroidism
DB00153	ergocalciferol	C0001122	Acidosis
DB00153	ergocalciferol	C0015624	Fanconi Syndrome
DB00153	ergocalciferol	C0085682	hypophosphatemia
DB00153	ergocalciferol	C0042842	Vitamin A Deficiency
DB00158	folic-acid	C0162316	Iron Deficiency Anemia
DB00158	folic-acid	C0016412	Folic Acid Deficiency
DB00158	folic-acid	C0002871	anemia
DB00158	folic-acid	C0002888	megaloblastic anemia
DB00158	folic-acid	C0007570	celiac disease
DB00158	folic-acid	C0042847	Vitamin B 12 Deficiency
DB00159	icosapent	C0020557	hypertriglyceridemia
DB00159	icosapent	C0010674	cystic fibrosis
DB00159	icosapent	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00159	icosapent	C0011881	diabetic nephropathy
DB00162	retinol	C0042842	Vitamin A Deficiency
DB00162	retinol	C0702166	Acne
DB00162	retinol	C0042870	vitamin D deficiency
DB00162	retinol	C0022593	keratosis
DB00163	Vitamin E	C0042875	vitamin E deficiency
DB00163	Vitamin E	C0002395	Alzheimer's disease
DB00163	Vitamin E	C0004096	asthma
DB00163	Vitamin E	C0003873	rheumatoid arthritis
DB00163	Vitamin E	C0004153	atherosclerosis
DB00165	pyridoxine	C1849508	EPILEPSY, PYRIDOXINE-DEPENDENT
DB00165	pyridoxine	C0936215	vitamin B6 deficiency
DB00169	cholecalciferol	C0029458	Osteoporosis, Postmenopausal
DB00169	cholecalciferol	C0020626	hypoparathyroidism
DB00169	cholecalciferol	C0035579	rickets
DB00169	cholecalciferol	C0020598	hypocalcemia
DB00169	cholecalciferol	C0029442	osteomalacia
DB00169	cholecalciferol	C0029456	osteoporosis
DB00169	cholecalciferol	C0022661	chronic renal failure
DB00169	cholecalciferol	C0042870	vitamin D deficiency
DB00169	cholecalciferol	C0010346	Crohn's disease
DB00169	cholecalciferol	C0024121	Lung Neoplasms
DB00169	cholecalciferol	C0033860	psoriasis
DB00169	cholecalciferol	C0037286	Skin Neoplasms
DB00169	cholecalciferol	C0042842	Vitamin A Deficiency
DB00175	pravastatin	C0038454	stroke
DB00175	pravastatin	C0020479	Hyperlipoproteinemia Type Iii
DB00175	pravastatin	C0020443	hypercholesterolemia
DB00175	pravastatin	C0020557	hypertriglyceridemia
DB00175	pravastatin	C0020474	Hyperlipidemia, Familial Combined
DB00175	pravastatin	C0003850	arteriosclerosis
DB00175	pravastatin	C0027051	Myocardial Infarction
DB00175	pravastatin	C0020473	hyperlipidemia
DB00175	pravastatin	C0020476	Hyperlipoproteinemias
DB00176	fluvoxamine	C0028768	obsessive compulsive disorder (OCD)
DB00177	valsartan	C0020538	Hypertensive disease
DB00177	valsartan	C0011881	diabetic nephropathy
DB00177	valsartan	C0018802	congestive heart failure
DB00177	valsartan	C0242698	Ventricular Dysfunction, Left
DB00178	ramipril	C0038454	stroke
DB00178	ramipril	C0020538	Hypertensive disease
DB00178	ramipril	C0018802	congestive heart failure
DB00178	ramipril	C0011849	diabetes mellitus
DB00178	ramipril	C0730345	Microalbuminuria
DB00178	ramipril	C0027051	Myocardial Infarction
DB00179	masoprocol	C0020456	hyperglycemia
DB00179	masoprocol	C0022593	keratosis
DB00180	flunisolide	C2607914	Allergic Rhinitis (Disorder)
DB00180	flunisolide	C0004096	asthma
DB00180	flunisolide	C0035457	Rhinitis, Allergic, Perennial
DB00181	baclofen	C0026769	multiple sclerosis
DB00181	baclofen	C0005697	neurogenic bladder
DB00181	baclofen	C0007789	Cerebral Palsy
DB00181	baclofen	C0020179	Huntington's disease
DB00181	baclofen	C0037930	Spinal Cord Neoplasms
DB00181	baclofen	C0038018	Spondylolysis
DB00181	baclofen	C0040997	Trigeminal Neuralgia
DB00181	baclofen	C0037763	spasms
DB00182	Amphetamine	C0028754	obesity
DB00182	Amphetamine	C1263846	attention-deficit/hyperactivity disorder (ADHD)
DB00182	Amphetamine	C0027404	narcolepsy
DB00186	lorazepam	C0238111	Lennox-Gastaut Syndrome
DB00186	lorazepam	C0014553	Absence Epilepsy
DB00186	lorazepam	C0014550	Epilepsies, Myoclonic
DB00186	lorazepam	C0270846	Epileptic drop attack
DB00186	lorazepam	C0003467	anxiety
DB00186	lorazepam	C0038220	status epilepticus
DB00186	lorazepam	C0030319	panic disorders
DB00186	lorazepam	C0021603	Sleep Initiation And Maintenance Disorders
DB00186	lorazepam	C0014544	epilepsy
DB00187	esmolol	C0004238	atrial fibrillation (AF)
DB00187	esmolol	C0039240	Supraventricular Tachycardia
DB00187	esmolol	C0042514	ventricular tachycardia (VT)
DB00188	bortezomib	C0026764	multiple myeloma
DB00188	bortezomib	C0334634	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
DB00189	Ethchlorvynol	C0917801	Sleeplessness
DB00189	Ethchlorvynol	C0021603	Sleep Initiation And Maintenance Disorders
DB00190	carbidopa	C0030567	Parkinson's Disease
DB00190	carbidopa	C0242422	Parkinsonian Disorders
DB00191	phentermine	C0020649	hypotension
DB00191	phentermine	C0028754	obesity
DB00193	tramadol	C0150055	chronic pain
DB00193	tramadol	C0029408	osteoarthritis
DB00193	tramadol	C0030193	Pain
DB00193	tramadol	C0235063	respiratory depression
DB00195	betaxolol	C0020538	Hypertensive disease
DB00195	betaxolol	C0028840	ocular hypertension
DB00195	betaxolol	C0017612	Glaucoma, Open-Angle
DB00195	betaxolol	C0017601	glaucoma
DB00196	fluconazole	C0025289	meningitis
DB00199	erythromycin	C0155862	Streptococcal Pneumonia
DB00199	erythromycin	C0025289	meningitis
DB00199	erythromycin	C0008311	Cholangitis
DB00199	erythromycin	C2242472	Infection of bone
DB00199	erythromycin	C0042029	Urinary tract infection
DB00199	erythromycin	C0017160	gastroenteritis
DB00199	erythromycin	C0702166	Acne
DB00200	Hydroxocobalamin	C0042847	Vitamin B 12 Deficiency
DB00200	Hydroxocobalamin	C0007570	celiac disease
DB00200	Hydroxocobalamin	C0020550	hyperthyroidism
DB00200	Hydroxocobalamin	C0024523	Malabsorption Syndrome
DB00200	Hydroxocobalamin	C0346647	Malignant Neoplasm Of Pancreas
DB00200	Hydroxocobalamin	C0011882	Diabetic Neuropathies
DB00200	Hydroxocobalamin	C0026769	multiple sclerosis
DB00200	Hydroxocobalamin	C0002871	anemia
DB00201	caffeine	C2607914	Allergic Rhinitis (Disorder)
DB00201	caffeine	C0030193	Pain
DB00201	caffeine	C0004604	Back Pain
DB00201	caffeine	C0003862	joint pain
DB00201	caffeine	C0026838	Muscle Spasticity
DB00201	caffeine	C0027424	Nasal congestion (finding)
DB00201	caffeine	C0013390	Dysmenorrhea
DB00201	caffeine	C0149931	Migraine Disorders
DB00201	caffeine	C0003578	Apnea
DB00201	caffeine	C0015672	fatigue
DB00201	caffeine	C0013144	drowsiness
DB00203	sildenafil	C2973725	pulmonary arterial hypertension (PAH)
DB00203	sildenafil	C0242350	erectile dysfunction
DB00206	reserpine	C0033975	Psychotic Disorders
DB00206	reserpine	C0020538	Hypertensive disease
DB00206	reserpine	C0085580	Essential Hypertension
DB00206	reserpine	C0013384	Dyskinetic Syndrome
DB00207	azithromycin	C0155862	Streptococcal Pneumonia
DB00207	azithromycin	C0029882	Otitis Media
DB00207	azithromycin	C0702166	Acne
DB00207	azithromycin	C0032285	pneumonia
DB00208	ticlopidine	C0038454	stroke
DB00208	ticlopidine	C0040053	thrombosis
DB00209	trospium	C0042023	Increased frequency of micturition
DB00209	trospium	C0085606	Urgency of micturition
DB00209	trospium	C0878773	Overactive Bladder
DB00209	trospium	C0042024	urinary incontinence
DB00210	adapalene	C0702166	Acne
DB00211	midodrine	C0020651	Hypotension, Orthostatic
DB00211	midodrine	C0042024	urinary incontinence
DB00211	midodrine	C0020649	hypotension
DB00213	pantoprazole	C0043515	Zollinger-Ellison syndrome
DB00213	pantoprazole	C0017168	gastroesophageal reflux disease (GERD)
DB00213	pantoprazole	C0027662	Multiple Endocrine Neoplasia
DB00213	pantoprazole	C0030920	Peptic Ulcer
DB00213	pantoprazole	C0041582	Ulcer
DB00213	pantoprazole	C0014868	Esophagitis
DB00214	torasemide	C0020538	Hypertensive disease
DB00214	torasemide	C0013604	edema
DB00214	torasemide	C0018802	congestive heart failure
DB00214	torasemide	C0022661	chronic renal failure
DB00214	torasemide	C0022660	Kidney Failure, Acute
DB00214	torasemide	C0023890	hepatic cirrhosis
DB00214	torasemide	C0027726	nephrotic syndrome
DB00214	torasemide	C0034063	Pulmonary Edema
DB00215	citalopram	C1269683	Major Depressive Disorder
DB00215	citalopram	C0011581	Depressive disorder
DB00215	citalopram	C0011882	Diabetic Neuropathies
DB00216	eletriptan	C0149931	Migraine Disorders
DB00218	moxifloxacin	C0031154	peritonitis
DB00218	moxifloxacin	C0155862	Streptococcal Pneumonia
DB00218	moxifloxacin	C0008677	Bronchitis, Chronic
DB00218	moxifloxacin	C0876973	Infectious Disease Of Lung
DB00218	moxifloxacin	C0032285	pneumonia
DB00218	moxifloxacin	C0037199	sinusitis
DB00218	moxifloxacin	C0010692	Cystitis
DB00218	moxifloxacin	C0034186	pyelonephritis
DB00222	glimepiride	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00222	glimepiride	C0003811	Cardiac Arrhythmia
DB00222	glimepiride	C0020456	hyperglycemia
DB00222	glimepiride	C0011849	diabetes mellitus
DB00223	DIFLORASONE	C0015230	Exanthema
DB00223	DIFLORASONE	C0079773	cutaneous T-cell lymphoma (CTCL)
DB00223	DIFLORASONE	C0024138	Lupus Erythematosus, Discoid
